Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
115,DeeJay Dallas,SEA,RB,17,0.6,1.04
115,C.J. Ham,MIN,FB,17,0.6,0.9
117,Damien Williams,ARI,RB,3,2.5,2.16
118,Michael Burton,DEN,FB,17,0.4,0.64
119,Ke'Shawn Vaughn,TB,RB,6,1.1,1.01
120,Keith Smith,ATL,FB,13,0.5,1.07
121,Khari Blasingame,CHI,FB,16,0.4,0.72
122,Sean Tucker,TB,RB,11,0.5,1.26
123,Rashaad Penny,PHI,RB,3,1.6,0.65
124,Alex Armah,WAS,RB,8,0.5,0.74
124,Jashaun Corbin,NYG,RB,6,0.7,1.6
126,Deon Jackson,NYG,RB,4,1,1.62
126,Leonard Fournette,BUF,RB,2,2,0
128,Elijah Dotson,LAC,RB,4,1,1.69
129,Jake Funk,IND,RB,4,0.8,1.39
130,Anthony McFarland Jr.,PIT,RB,3,1,1.46
130,Kenyan Drake,GB,RB,3,1,1.46
130,Zonovan Knight,DET,RB,2,1.6,0.25
133,Derrick Gore,WAS,RB,6,0.4,0.84
134,Adam Prentice,NO,FB,13,0.2,0.64
135,Devine Ozigbo,DET,RB,3,0.8,1.08
136,Jakob Johnson,LV,FB,13,0.2,0.59
137,Chris Evans,CIN,RB,8,0.3,0.69
137,Tyrion Davis-Price,SF,RB,1,2.1,0
139,Zach Evans,LAR,RB,10,0.2,0.33
140,Evan Hull,IND,RB,1,1.7,0
141,Reggie Gilliam,BUF,FB,17,0.1,0.31
141,Kene Nwangwu,MIN,RB,9,0.1,0.28
143,Jonathan Ward,TEN,RB,8,0.1,0.36
144,James Robinson,GB,RB,1,1,0
145,Travis Homer,CHI,RB,16,0,0
145,Dwayne Washington,DEN,RB,13,0,0
145,Godwin Igwebuike,PIT,RB,12,0,0
145,JaMycal Hasty,NE,RB,5,0,0
145,Jason Cabinda,DET,FB,4,0,0
145,Corey Clement,ARI,RB,4,0,0
145,Myles Gaskin,MIN,RB,3,0,0
145,Julius Chestnut,TEN,RB,3,0,0
145,Malik Davis,DAL,RB,3,0,0
145,Kenny McIntosh,SEA,RB,3,0,0
145,Jeremy McNichols,SF,RB,3,0,0
145,Taiwan Jones,NYG,RB,2,0,0
145,Qadree Ollison,PIT,RB,2,0,0
145,Jordan Mims,NO,RB,2,0,0
145,Henry Pearson,GB,FB,2,0,0
145,Deneric Prince,KC,RB,2,0,0
145,Mohamed Ibrahim,DET,RB,1,0,0
145,SaRodorick Thompson Jr.,SEA,RB,1,0,0
145,Owen Wright,BAL,RB,1,0,0
145,Patrick Laird,TB,RB,1,0,0
145,Ben Mason,BAL,FB,1,0,0
145,Xazavian Valladay,NYJ,RB,1,0,0
167,Jonathan Williams,WAS,RB,1,-0.2,0
999,"League Average (8+ Games, 4+ PPG)",NFL,RB,14.18,10.74,6.3
