Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,PointsFromRushingYards,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRushingTDs,PFRTD_PCT_TOTAL,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceivingYards,PointsFromRecYds,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFumblesLost,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
68,23364,Jordan Mason,SF,RB,17,40,206,20.6,0.46,5.2,3,18,0.4,4,3,3,0.07,31,3.1,0.07,0,0,0,0,0,0,0,2.6,44.7
69,20798,Darrell Henderson Jr.,LAR,RB,4,46,112,11.2,0.26,2.4,2,12,0.28,14,10,10,0.23,103,10.3,0.24,0,0,0,0,0,0,0,10.9,43.5
70,24238,Kendre Miller,NO,RB,8,41,156,15.6,0.36,3.8,1,6,0.14,11,10,10,0.23,117,11.7,0.27,0,0,0,0,0,0,0,5.4,43.3
71,21843,Salvon Ahmed,MIA,RB,8,22,61,6.1,0.14,2.8,1,6,0.14,23,16,16,0.37,88,8.8,0.21,1,6,0.14,0,0,0,0,5.4,42.9
72,23218,Pierre Strong Jr.,CLE,RB,17,63,291,29.1,0.68,4.6,1,6,0.14,8,5,5,0.12,47,4.7,0.11,0,0,0,1,1,-2,-0.05,2.5,42.8
73,20360,Jeff Wilson Jr.,MIA,RB,10,41,188,18.8,0.46,4.6,0,0,0,17,14,14,0.34,85,8.5,0.21,0,0,0,0,0,0,0,4.1,41.3
74,16815,Ameer Abdullah,LV,RB,17,15,89,8.9,0.22,5.9,0,0,0,24,19,19,0.46,131,13.1,0.32,0,0,0,0,0,0,0,2.4,41
75,18872,Dalvin Cook,NYJ,RB,15,67,214,21.4,0.53,3.2,0,0,0,20,15,15,0.37,78,7.8,0.19,0,0,0,2,2,-4,-0.1,2.7,40.2
76,19919,Chase Edmonds,TB,RB,13,49,176,17.6,0.44,3.6,0,0,0,17,14,14,0.35,81,8.1,0.2,0,0,0,0,0,0,0,3.1,39.7
77,14901,Kyle Juszczyk,SF,FB,17,5,6,0.6,0.02,1.2,0,0,0,17,14,14,0.36,119,11.9,0.31,2,12,0.31,0,0,0,0,2.3,38.5
78,23237,Chris Rodriguez Jr.,WAS,RB,13,51,247,24.7,0.65,4.8,2,12,0.32,2,2,2,0.05,12,1.2,0.03,0,0,0,1,1,-2,-0.05,2.9,37.9
79,15150,Cordarrelle Patterson,ATL,RB,14,50,181,18.1,0.49,3.6,0,0,0,12,9,9,0.24,38,3.8,0.1,1,6,0.16,1,0,0,0,2.6,36.9
80,21593,D'Ernest Johnson,JAX,RB,17,41,108,10.8,0.31,2.6,0,0,0,12,10,10,0.29,140,14,0.4,0,0,0,0,0,0,0,2,34.8
81,21227,Andrew Beck,HOU,FB,15,5,3,0.3,0.01,0.6,1,6,0.18,13,11,11,0.34,55,5.5,0.17,2,12,0.37,2,1,-2,-0.06,2.2,32.8
82,20837,Ty Johnson,BUF,RB,10,30,132,13.2,0.41,4.4,0,0,0,7,7,7,0.22,62,6.2,0.19,1,6,0.19,1,0,0,0,3.2,32.4
83,21774,Tony Jones Jr.,ARI,RB,7,26,95,9.5,0.3,3.7,2,12,0.37,10,7,7,0.22,37,3.7,0.11,0,0,0,0,0,0,0,4.6,32.2
84,21845,Darrynton Evans,MIA,RB,7,32,121,12.1,0.4,3.8,1,6,0.2,12,7,7,0.23,49,4.9,0.16,0,0,0,0,0,0,0,4.3,30
84,21823,Patrick Taylor,GB,RB,11,32,141,14.1,0.47,4.4,0,0,0,17,11,11,0.37,49,4.9,0.16,0,0,0,0,0,0,0,2.7,30
86,21564,Craig Reynolds,DET,RB,17,41,179,17.9,0.6,4.4,1,6,0.2,5,5,5,0.17,47,4.7,0.16,0,0,0,2,2,-4,-0.14,1.7,29.6
87,20819,Alec Ingold,MIA,FB,17,2,0,0,0,0,0,0,0,16,13,13,0.52,119,11.9,0.48,0,0,0,0,0,0,0,1.5,24.9
88,19798,Nick Chubb,CLE,RB,2,28,170,17,0.74,6.1,0,0,0,4,4,4,0.17,21,2.1,0.09,0,0,0,0,0,0,0,11.6,23.1
89,23193,Tank Bigsby,JAX,RB,17,50,132,13.2,0.58,2.6,2,12,0.53,4,1,1,0.04,6,0.6,0.03,0,0,0,2,2,-4,-0.18,1.3,22.8
90,23345,Kevin Harris,NE,RB,4,16,65,6.5,0.31,4.1,1,6,0.28,3,3,3,0.14,58,5.8,0.27,0,0,0,0,0,0,0,5.3,21.3
91,21801,Trey Sermon,IND,RB,14,35,160,16,0.79,4.6,0,0,0,6,3,3,0.15,13,1.3,0.06,0,0,0,0,0,0,0,1.4,20.3
92,22547,Ronnie Rivers,LAR,RB,9,32,129,12.9,0.64,4,0,0,0,5,5,5,0.25,22,2.2,0.11,0,0,0,0,0,0,0,2.2,20.1
93,16776,Melvin Gordon III,BAL,RB,4,26,81,8.1,0.41,3.1,1,6,0.3,3,3,3,0.15,46,4.6,0.23,0,0,0,1,1,-2,-0.1,4.9,19.7
94,23198,Isaiah Spiller,LAC,RB,9,37,96,9.6,0.51,2.6,0,0,0,6,6,6,0.32,34,3.4,0.18,0,0,0,0,0,0,0,2.1,19
