Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Darnell Mooney,15.3,0,0,9.1,0,6.8,7.4,5.4,13.2,3.4,3.4,2.6,0,6.4,3.4,2.5,0,0,78.9
Davante Adams,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,0,12.3,24.1,1.4,37.6,15.6,265.4
David Bell,0,5.7,0,0,0,1.6,0,0,0,0,0,0,3.2,11.1,0,1.6,2.7,22.8,48.7
David Moore,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,14.8,1.7,0,1.8,20.4
David Sills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Carter,1.5,0,2.6,0,0.3,0,0,0,2.5,1.5,0,0,0,0,0,0,0,1.3,9.7
DeAndre Hopkins,13.5,8,7.8,10.3,22,3,0,34.8,10.5,5.7,15.9,7.9,18.9,25.4,4.1,4,14.2,17.6,223.6
Dee Eskridge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Deebo Samuel,11.3,22.1,25.1,0.6,11.5,1.1,0,0,0,15.9,9.2,22.4,35.8,34,21.9,9.4,18.2,5.2,243.7
Demarcus Robinson,0,0,0,0,0,0,0,0,2.5,0,4.4,3.3,15.5,13.6,14.7,20.2,13.2,0,87.4
Demario Douglas,8,1.9,3,6.5,3.4,0,11.4,7.9,10.5,14.4,0,10.9,0,0,6.3,12.4,7.3,3.3,107.2
Deonte Harty,4.3,2.4,3.3,3,8.2,7.3,2,0,0,0,0,0,0,3.5,0,0,0,2.2,36.2
Derius Davis,1.5,1,1.3,8.7,0,0,3.4,2.4,1,2.7,0.7,1.1,0,0,0,2.4,0.2,4.5,30.9
DeVante Parker,0,11.7,3.9,5.3,4,1.7,1.8,2.4,0,0,0,7.2,10.4,0,9.4,10.5,2.5,1.6,72.4
Deven Thompkins,3,1.1,2.6,15.6,0,2.3,2.4,0,0,2.1,1.7,0,2.1,0,0,0,1,1.1,35
Devin Duvernay,0,1.5,0,2.8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7.3
Devon Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVonta Smith,17.7,23.1,6.8,14.8,1.6,9.4,8.9,22.9,14.1,0,15.9,23.6,24.6,10.3,10,17.9,6,0,227.6
Dez Fitzpatrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diontae Johnson,7.8,0,0,0,0,0,12.9,16.5,22,2.7,3.6,9,13.3,14.7,16.2,3.5,11.6,18.9,152.7
DJ Chark Jr.,0,2.5,18.6,4.8,13.2,5.6,0,4.3,8.9,0,0,6.4,8.6,4.6,2.8,27.8,2.8,4.6,115.5
DJ Moore,4.5,16.4,13.1,27.1,49,10.1,13.4,9.5,5.4,10.9,22.6,22.4,0,26.8,9.2,4.8,30.9,10.4,286.5
DJ Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK Metcalf,13.7,13.5,17.2,12.4,0,10.9,0,11.7,6,16.8,20.4,6.2,37.4,13.2,12.8,15.6,15.6,2,225.4
Donovan Peoples-Jones,2.2,1.7,7.9,1.7,0,0,4.2,0,0,0,0,0,0,2.7,1.5,2.1,0,4.5,28.5
Dontayvion Wicks,0,12,8.5,0,2,0,3.36,4.8,6.9,8.1,12.1,0,7.3,4,15.7,10.9,0,24.1,119.76
Drake London,0,18.7,5.1,11.8,14.68,21.5,11.4,10.5,0,6.6,0,14.1,1.8,29.2,4.4,6.9,9.6,8.1,174.38
Dyami Brown,0,5.5,0,7.1,2.1,0,0,0,5.3,12.1,1.7,0,1,0,0,0,0,0.16,34.96
