Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Harrison Bryant,8.5,0,0.4,1.4,0,0,0,0,0,1.5,0,5.2,15.9,0,0,1.6,3.4,0,37.9
Hayden Hurst,15.1,5,2.1,1.7,5.1,2.6,0,0,7.4,3.4,0,0,0,0,0,0,0,0,42.4
Hunter Henry,16.6,17.2,3.7,9.1,0,1.7,4.7,5.8,13.9,5.1,0,0,3.5,19,19.6,0,0,0,119.9
Hunter Kampmoyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Thomas,0,0,1.8,0,3.8,0,0,0,0,0,0,1.9,1.6,0,0,0,0,1.5,10.6
Irv Smith Jr.,4.7,3,0,0,0,1.5,0,4.5,11.6,1.6,0,2.8,0,0,3.8,0,0,0,33.5
Isaiah Likely,1.4,1.8,3,0,0,0,0,2,8.2,1.5,0,8,0,19.3,18,8.6,18.2,11.1,101.1
J.P. Holtz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Stoll,0,0,1.6,0,1.4,0,0,0,0,0,1.3,2.4,0,0,0,0,0,2.1,8.8
Jake Ferguson,3.1,10.1,9.8,14.7,5.8,2.5,0,14.7,22.1,12.6,6.2,4.5,19.7,12.2,10.4,8.5,7.3,12.9,177.1
James Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.4,4.8
Jeremy Ruckert,0,0,0,4.6,1.2,1.8,0,0,1.7,0,5.5,3.8,2.2,6.7,3.6,0,0,0,31.1
Jesper Horsted,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.4
Jimmy Graham,0,0,7.8,0,0,0,0,0,0,0,0,0,7.6,9.6,8.9,0,0,0,33.9
John Bates,0,7.6,3.2,1.6,3.9,0,0,2.7,0.5,5.1,3.5,0,0,0,0,4.4,1.6,0,34.1
John FitzPatrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2
Johnny Mundt,0,0,0,0,2.1,0,0,1.8,2.8,2.8,0,0,0,1.4,1.3,3.3,13.9,10.8,40.2
Jonnu Smith,0,8.7,8.7,15.5,10.7,13.6,5.7,2.3,21,1.1,0,0,3,6.7,8.1,7.2,0,11.9,124.2
Jordan Akins,2.2,1.2,0,1.6,0,0,0,1.6,2.1,1.8,0,0,1.6,1.3,1.8,3.8,3.8,5.4,28.2
Jordan Matthews,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Oliver,6.2,3.3,8.4,0,0.5,0,2.6,0,2.1,0,14.7,0,0,0,3.4,4.3,2.7,5.1,53.3
Josh Pederson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Whyle,0,0,0,10.6,1.7,2.1,0,0,0,3.6,1.7,2.1,2.6,0,0,0,0,0,24.4
Josiah Deguara,0,2.5,0,7.4,2.9,0,0,0,1.7,0,0,0,0,0,0,0,0,0,14.5
Julian Hill,0,0,0,0,0,0,0,1.4,0,0,0,0,4.3,0,0,0,1.9,1.2,8.8
Juwan Johnson,6.6,3.3,3.2,0,0,0,0,1.5,13.9,1.2,0,8.5,0,3,11.8,14.8,23,7,97.8
Kenny Yeboah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,4.8
Kevin Rader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.6
Ko Kieft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,7.2
Kyle Pitts,6.4,3.5,8.7,4.1,15.7,14.3,7.7,6.5,9.6,6,0,4.2,9.1,14.7,6.7,13.9,1.5,4.7,137.3
Kylen Granson,7.9,10.6,2.9,4.4,3.5,9.7,0,0,0,1.5,0,0,10.4,3.7,1.6,11.2,2.3,3.3,73
Lawrence Cager,3.7,0,0,0,0,0,0,0,0,8,0,0,0,0,1.9,0,0,0,13.6
Logan Thomas,8.3,10.2,0,7.3,20.7,1.2,9.1,16.4,7.1,9,8.8,3.5,2,0,1.7,14.6,5,1.9,126.8
Lucas Krull,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,2.8,12.8,3.4,0,23.5
Luke Farrell,0,0,1.4,3,2.6,0,0,1.5,0,0,4.1,8.5,1.9,0,3.8,0,1.7,0,28.5
Luke Musgrave,8,4.5,10.9,1.1,9.4,0,7,2.9,14.1,8.4,6.8,0,0,0,0,0,0,2.1,75.2
Luke Schoonmaker,0,7.1,0,0,0,0,0,2.3,1,0,10.3,2.2,2.2,0,0,1.4,0,0,26.5
Marcedes Lewis,0,0,0,1.8,0,0,2.6,0,0,0,0,0,0,1.4,0,7.1,0,0,12.9
Mark Andrews,0,15.5,7.5,25,12.5,10.9,22.3,14,17,6.4,4.3,0,0,0,0,0,0,0,135.4
Matt Bushman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Sokol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Mayer,0,1.2,2,0,5.9,12.5,3.3,2.9,3.1,10.9,8.6,4.7,0,2.4,13.9,0,0,0,71.4
