Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Devine Ozigbo,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,2.3
De'Von Achane,0,1.9,51.3,27,21.5,0,0,0,0,0,1.5,0,25.3,12.1,9.2,4.1,23.7,13.1,190.7
D'Onta Foreman,4.4,0,0,0,0,7.7,33,4.6,8.3,17.2,7.4,0,0,9.2,-0.6,0,0,0,91.2
Dwayne Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Dotson,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
Elijah Mitchell,1,0,7.4,0,0,-0.3,-0.1,0.2,0,2.3,2.4,4.6,1.3,0,0,0,14,14.7,47.5
Emanuel Wilson,0,0.5,2.2,0,0,0,4.7,0,4.3,0,3.1,0,0,0,0,0,0,0,14.8
Emari Demercado,0,2.5,0.2,5.4,12.7,2.7,11.5,8.9,0,0,0,1.5,0,0,14,12,1.9,0,73.3
Eric Gray,0,0,0,0,3.6,0.2,0,0,0,0,0,0,0,0,3.6,0,1.8,3.8,13
Evan Hull,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
Ezekiel Elliott,7.3,1.3,9.7,4.2,7.8,11.9,9.1,3.6,6.2,10.8,0,7.2,13.2,27,9.6,21,11.5,13.1,174.5
Gary Brightwell,3.1,0,5.6,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6
Godwin Igwebuike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Edwards,5.2,12.2,5.1,6.9,4.8,6.3,21.4,29.4,17.2,9.8,21,4.7,0,1.5,13.9,14,10.8,2.8,187
Henry Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Luepke,0,0,3.1,6.4,0,0,0,0.8,0,0,0,0,0,0,0.3,2.1,0,0,12.7
Isaiah Spiller,0,0.3,0.7,4.7,0,0.2,0,1.8,0,0,0,0,0,1.9,5,1.5,2.9,0,19
Isiah Pacheco,9.4,8,15.8,24.8,13.4,15.8,16,6.7,6.6,0,10.1,25.9,21.3,0,0,10.6,29.5,0,213.9
Israel Abanikanda,0,0,0,0,0,0,0,0,0,0,2.6,0,0,-0.1,3.9,4.3,5,0.6,16.3
J.K. Dobbins,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7
Jahmyr Gibbs,8,12.6,9.2,9.1,0,0,27.6,29.9,0,26.2,21.5,11.3,6.4,17.2,24.8,24,5.3,9,242.1
Jake Funk,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
Jakob Johnson,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
Jaleel McLaughlin,0.3,6.5,1.5,19.4,17.9,6.2,5.6,5.9,0,3.2,6.5,0.4,4.1,4.2,3.8,10.7,9.2,0.6,106
